	Close	ATR	Momentum	CCI	MACD	EMA	Times
0	110.0	3.267	-2.12	60.19	2.783	106.56	2010-08-16
1	110.36	3.17	0.36	47.75	2.603	106.81	2010-08-17
2	111.5	3.16	1.14	56.89	2.524	107.11	2010-08-18
3	116.39	3.304	4.89	142.0	2.823	107.71	2010-08-19
4	114.31	3.239	-2.08	132.4	2.859	108.13	2010-08-20
5	116.11	3.247	1.8	139.3	2.998	108.65	2010-08-23
6	115.04	3.221	-1.07	143.7	2.988	109.06	2010-08-24
7	113.12	3.177	-1.92	80.57	2.793	109.32	2010-08-25
8	113.35	3.09	0.23	58.82	2.626	109.58	2010-08-26
9	110.13	3.171	-3.22	-27.64	2.209	109.62	2010-08-27
10	112.33	3.109	1.05	-26.09	1.806	109.89	2010-08-31
11	114.32	3.082	1.99	71.29	1.833	110.18	2010-09-01
12	115.27	3.237	0.95	59.17	1.909	110.51	2010-09-02
13	114.9	3.118	-0.37	94.46	1.917	110.79	2010-09-03
14	119.09	3.187	-0.19	194.2	2.471	111.84	2010-09-07
15	117.85	3.093	-1.24	138.0	2.517	112.23	2010-09-08
16	120.78	3.112	2.93	168.9	2.758	112.78	2010-09-09
17	126.13	3.313	5.35	234.2	3.342	113.64	2010-09-13
18	126.47	3.269	0.34	222.2	3.789	114.47	2010-09-14
19	126.3	3.255	-0.17	167.3	4.082	115.23	2010-09-15
20	126.83	3.281	0.53	154.4	4.308	115.98	2010-09-16
21	128.23	3.259	1.4	138.0	4.547	116.77	2010-09-17
22	129.7	3.254	1.47	133.5	4.8	117.6	2010-09-20
23	129.25	3.264	-0.45	114.9	4.908	118.36	2010-09-21
24	128.14	3.388	0.29	66.72	4.39	120.59	2010-09-27
25	127.63	3.289	-0.51	54.33	4.19	121.04	2010-09-28
26	126.61	3.228	-1.02	46.22	3.904	121.4	2010-09-29
27	127.63	3.29	1.02	39.85	3.717	121.8	2010-09-30
28	129.54	3.182	-0.81	44.13	3.479	124.89	2010-10-08
29	129.98	3.136	0.44	58.48	3.269	125.21	2010-10-11
30	130.83	3.044	0.85	65.09	3.135	125.58	2010-10-12
31	133.35	3.056	2.52	123.2	3.195	126.08	2010-10-13
32	130.93	3.203	-2.42	75.25	3.013	126.39	2010-10-14
33	129.49	3.155	-1.44	6.368	2.721	126.59	2010-10-15
34	128.27	3.195	-1.22	-73.24	2.364	126.7	2010-10-18
35	128.51	3.301	0.24	-6.51	2.077	126.82	2010-10-19
36	127.9	3.224	-0.61	-50.53	1.779	126.89	2010-10-20
37	129.8	3.213	1.9	-28.21	1.677	127.07	2010-10-21
38	130.1	3.162	0.3	-1.806	1.602	127.27	2010-10-22
39	131.28	3.156	1.18	60.97	1.619	127.53	2010-10-25
40	130.05	3.077	-1.23	9.078	1.516	127.69	2010-10-26
41	127.16	3.189	-2.89	-128.3	1.187	127.66	2010-10-27
42	125.32	3.247	-1.84	-193.3	0.7697	127.51	2010-10-28
43	133.52	3.828	8.2	23.56	1.088	127.89	2010-10-29
44	141.5	4.264	7.98	364.6	1.961	128.77	2010-11-01
45	141.44	4.273	-0.06	285.5	2.618	129.59	2010-11-02
46	142.25	4.141	0.81	239.6	3.168	130.41	2010-11-03
47	145.09	4.071	2.84	201.8	3.789	131.35	2010-11-04
48	144.32	4.048	-0.77	161.1	4.171	132.19	2010-11-08
49	145.92	4.001	1.6	136.9	4.55	133.08	2010-11-09
50	144.37	3.872	-1.55	108.0	4.672	133.8	2010-11-10
51	142.47	3.845	-1.9	82.76	4.563	134.36	2010-11-11
52	138.22	3.927	-4.25	38.59	4.086	134.61	2010-11-12
53	140.6	3.973	2.38	41.27	3.856	135.0	2010-11-15
54	138.2	4.077	-2.4	30.96	3.44	135.2	2010-11-16
55	133.87	4.321	-4.33	-22.85	2.729	135.12	2010-11-18
56	132.04	4.255	-1.83	-47.46	1.996	134.92	2010-11-19
57	135.59	4.316	3.55	-28.67	1.681	134.96	2010-11-22
58	132.95	4.427	-2.64	-56.69	1.205	134.83	2010-11-23
59	129.32	4.603	-3.63	-76.83	0.5291	134.48	2010-11-24
60	129.29	4.861	0.87	-99.1	-0.4844	133.78	2010-11-26
61	132.65	4.821	3.36	-70.8	-0.5288	133.7	2010-11-29
62	131.46	4.694	-1.19	-81.67	-0.6524	133.56	2010-11-30
63	134.13	4.64	2.67	-45.17	-0.5289	133.6	2010-12-01
64	136.8	4.577	2.67	-3.578	-0.2131	133.8	2010-12-02
65	135.86	4.435	-0.94	-14.62	-0.03822	133.94	2010-12-03
66	132.25	4.545	-3.61	-38.02	-0.1888	133.83	2010-12-06
67	127.62	4.625	-4.63	-108.7	-0.6739	133.43	2010-12-07
68	127.13	4.522	-0.49	-136.1	-1.085	133.02	2010-12-08
69	121.52	4.812	-5.61	-177.3	-1.843	132.28	2010-12-09
70	128.46	5.156	6.94	-126.9	-1.862	132.03	2010-12-10
71	128.57	5.114	0.11	-82.5	-1.847	131.81	2010-12-13
72	128.6	4.986	0.03	-59.57	-1.811	131.6	2010-12-14
73	123.91	5.014	-4.69	-122.3	-2.137	131.11	2010-12-15
74	126.93	5.007	3.02	-91.67	-2.127	130.84	2010-12-16
75	126.37	4.891	-0.56	-66.78	-2.14	130.55	2010-12-20
76	130.87	4.891	4.5	0.637	-1.766	130.57	2010-12-21
77	130.02	4.751	-0.85	16.15	-1.521	130.53	2010-12-22
78	129.94	4.552	-0.08	14.04	-1.318	130.5	2010-12-23
79	129.69	3.933	1.68	-1.84	-0.9748	130.12	2010-12-29
80	130.7	3.785	1.01	40.35	-0.7635	130.16	2010-12-30
81	131.57	3.639	0.87	81.04	-0.5198	130.25	2010-12-31
82	126.91	3.675	-4.54	4.38	-0.5442	130.11	2011-01-04
83	123.0	3.734	-3.91	-140.8	-1.016	129.65	2011-01-05
84	121.04	3.717	-1.96	-177.8	-1.53	129.09	2011-01-06
85	120.46	3.795	-0.58	-185.0	-1.962	128.54	2011-01-07
86	116.59	3.954	-3.87	-215.6	-2.586	127.77	2011-01-10
87	117.61	4.001	1.02	-177.9	-2.965	127.11	2011-01-11
88	122.86	4.117	5.25	-92.44	-2.809	126.84	2011-01-12
89	118.09	4.25	-4.77	-112.2	-3.035	126.27	2011-01-13
90	116.16	4.333	-1.93	-120.0	-3.332	125.62	2011-01-14
91	116.21	4.138	1.19	-104.5	-3.705	124.37	2011-01-18
92	117.64	4.036	1.43	-77.4	-3.617	123.94	2011-01-19
93	120.78	4.227	3.14	-48.71	-3.256	123.73	2011-01-20
